"last_name, first_name","player_id","year","home_run","k_percent","slg_percent","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_miss_percent","oz_swing_miss_percent","oz_contact_percent","iz_contact_percent","whiff_percent","swing_percent"
"Langeliers, Shea","669127","2024","29",27.2,".450",".241",".456",".315",".328",".305",".215",74.1,42,17.7,12.9,32.5,23.7,"7.3","7","91.3","16.3",35.3,12.8,44,"102.05460686","95.451719446",19.7,49.4,50.6,80.3,29.2,49.5
"Wells, Austin","669224","2024","13",21,".395",".242",".429",".315",".339",".339",".187",72.5,22.5,15.7,11.6,30.4,22.5,"7.4","13","88.4","17.1",34.5,9.1,38.9,"99.723567259","94.070969368",19.9,48.3,51.2,79.9,27.3,49.3
"Smith, Will","669257","2024","20",19.3,".433",".242",".446",".326",".334",".325",".204",67.9,3.3,11.1,9,33.6,27.1,"7.2","28","89.4","18.7",38.3,10.8,42,"99.318269153","93.929159392",15.5,34.2,65.8,84.5,20.9,46.2
"Espinal, Santiago","669289","2024","9",13.8,".356",".258",".344",".285",".288",".307",".087",66.5,2.8,6.7,5.7,35.5,30.2,"7.3","8","85.9","15",35,1.9,24.1,"94.957566883","91.492088339",9.4,28.8,70.2,90.2,14.8,49
"Miranda, Jose","669304","2024","9",15.4,".441",".259",".399",".328",".306",".300",".140",71,15.6,13.4,10.8,36,29,"7.6","25","88.9","15.5",33.9,5.9,38.9,"99.359747765","93.786600855",12.6,40,60,87.4,22.5,52.3
"Gorman, Nolan","669357","2024","19",37.6,".400",".209",".433",".290",".307",".278",".223",73.2,30.3,14.1,9.4,26.1,17.3,"7.5","15","88.5","20.3",40.3,16.7,38.6,"100.727790741","94.443953953",29,62.3,37.7,70.7,38.7,51
"Edwards, Xavier","669364","2024","1",17.2,".423",".252",".321",".359",".296",".333",".069",64.5,0.2,5.1,4.3,37.4,31.5,"6.3","14","86.1","6.7",37.6,1.8,24.3,"95.052217333","91.536547476",12.7,28.6,67.3,86.5,16.9,47.5
"Burger, Jake","669394","2024","29",25.9,".460",".256",".476",".325",".338",".307",".221",74.7,46.9,20.2,14.4,33.4,23.9,"7.5","17","91.3","13",32.4,12.3,46.8,"103.619986856","96.171144407",18.9,49.4,50.6,81.1,30.1,52.4
"Smith, Josh","669701","2024","13",20.4,".394",".242",".352",".323",".304",".324",".110",70.1,6.8,11.8,9.2,35.7,27.8,"6.8","10","87.8","15.4",33.7,3.7,37.1,"98.306997711","93.25999596",14.9,40.9,58.1,84,21.8,47.1
"Triolo, Jared","669707","2024","9",26.5,".315",".224",".332",".275",".289",".307",".108",70.5,6.2,12.8,9.7,30.3,22.8,"7.8","19","88.4","13.4",38.8,5.3,39.1,"99.388421871","93.892534424",19.6,49.5,50.5,79.6,27.4,47.7
"Toglia, Michael","669911","2024","25",32.1,".456",".244",".503",".329",".358",".334",".259",73.2,29.3,18.5,12.5,31.8,21.4,"7.5","21","92.1","15.1",39.2,17.3,50.2,"102.673791797","96.069366471",22.5,59.7,39.9,77.5,34.9,45.1
"Lopez, Nicky","670032","2024","1",15.1,".294",".227",".288",".275",".268",".299",".062",64.2,0.5,3.1,2.5,39.7,32.3,"6.7","16","85","5.6",30,1.5,16.9,"94.065401402","91.042138226",13.5,34.2,64.9,86,19.4,48.5
"Raley, Luke","670042","2024","22",29.7,".463",".220",".418",".339",".316",".301",".198",75,50.8,16.8,11.4,27,18.4,"7.2","16","90.1","13.5",31.5,11,41.8,"101.696067615","95.042152538",23.6,64.4,34.7,76.2,34.5,51.8
"Alvarez, Yordan","670541","2024","35",15,".567",".303",".595",".402",".411",".389",".292",76.6,63.2,22.4,18.2,34,27.7,"7.6","1","93.1","18.3",35.4,14.5,49.7,"104.097105087","96.703519522",11.1,36.5,63.5,88.5,19.9,47.8
"Paredes, Isaac","670623","2024","19",16.4,".393",".220",".337",".327",".304",".333",".117",68.2,4.8,6.5,5.4,29,24.3,"8","13","85","22.4",37,4.5,27.1,"95.875582928","91.952619865",11,31.1,68.9,89,17.2,44.7
"Friedl Jr., TJ","670770","2024","13",15.2,".380",".228",".318",".305",".292",".318",".090",70.5,7.8,10.1,8.4,35.1,29.1,"6.8","11","86","16.7",29.9,3.2,31.5,"96.990036","92.527458326",11,36.7,63.3,88.5,17.9,43.4
"Ramos, Heliot","671218","2024","22",26.1,".469",".250",".481",".339",".338",".307",".230",75.2,55.3,18.3,13.7,29.8,22.3,"6.9","28","91.5","10.4",34.3,14.5,47.5,"102.620742924","95.895956716",18.3,51.9,48.1,81.7,28.7,50.3
"García, Luis","671277","2024","18",16.3,".444",".278",".452",".328",".331",".315",".174",71.7,22.7,16.1,12.8,35.2,28,"7.3","10","89.1","8.2",32.8,8,41.7,"100.167127696","94.249397672",12.6,36.4,62.7,86.8,21.3,51.7
"Freeman, Tyler","671289","2024","7",13.8,".321",".236",".338",".283",".302",".329",".102",71.7,17.4,13.7,11.6,36,30.5,"7.2","5","87.7","13",30.7,3.2,34.6,"98.573015071","93.423975986",10.1,30.3,68.2,89.5,16.4,46.9
"Butler, Lawrence","671732","2024","22",23.9,".490",".261",".471",".345",".342",".319",".210",74.2,43.6,17.6,13.1,32.1,23.9,"7.1","12","91.1","11.3",35.1,11,47.4,"101.824301046","95.302256275",19.6,44.7,55.3,80.3,26.9,47.7
"Harris II, Michael","671739","2024","16",20,".418",".284",".461",".312",".344",".326",".177",74.7,48.1,19.6,15.1,30.5,23.4,"8.1","11","90.5","7.5",33.5,10,47,"103.329018908","96.053474224",18.4,37.7,62,81.5,25.1,55.1
"Bailey, Patrick","672275","2024","8",22.3,".339",".258",".398",".281",".319",".324",".141",71.3,13.2,15.6,12.1,36.2,28.1,"7.3","9","91.3","12.1",37.9,5.5,43,"100.739347483","94.770639073",15.6,46.3,53.2,84,23.4,48.1
"Siani, Michael","672279","2024","2",27.5,".285",".205",".265",".257",".243",".265",".059",68.9,5.9,6.8,4.9,32.2,23.1,"7.2","14","84.4","5.1",32.6,2.3,22.6,"95.786961649","91.898789433",23.3,46.7,50.9,74.6,29.5,48.9
"Kelenic, Jarred","672284","2024","15",29.6,".393",".241",".412",".294",".308",".296",".171",72.7,24.8,16.5,11.1,34.8,23.5,"7.3","18","89.8","16",38.2,9.9,45.2,"100.297571631","94.504780603",23.3,57.8,41.8,76.7,33.4,49.9
"Kirk, Alejandro","672386","2024","5",13.2,".359",".257",".392",".297",".324",".332",".134",70.1,12.2,14.2,12.2,36.7,31.6,"7","8","89.4","10.8",34.6,6.7,40.9,"99.802023893","94.269440505",9.8,28.7,71.3,90.2,15.7,46.6
"Moreno, Gabriel","672515","2024","5",14.8,".380",".255",".384",".325",".325",".345",".130",70.7,13,14.9,12.1,36.1,29.2,"7","7","90","8.8",33.6,6.6,41,"99.887726484","94.221263359",15,29.1,70.9,85,18.5,41.2
