"last_name, first_name","player_id","year","home_run","k_percent","slg_percent","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_miss_percent","oz_swing_miss_percent","oz_contact_percent","iz_contact_percent","whiff_percent","swing_percent"
"Blackmon, Charlie","453568","2024","12",17.2,".412",".249",".365",".323",".306",".323",".117",67.4,2.4,6.6,5.4,29.3,23.8,"7.1","5","84.8","16.3",34.1,5.2,27.2,"96.083583591","92.106050111",13.3,32.7,67.3,86.4,19.2,48
"Solano, Donovan","456781","2024","8",21,".417",".257",".378",".333",".307",".317",".121",67.1,1.3,8.4,6.5,31.9,24.9,"7","11","87.3","13.7",37,3.7,37.4,"98.057695046","93.167454908",13.6,45.9,54.1,86.4,23.5,47.2
"McCutchen, Andrew","457705","2024","20",25.8,".411",".227",".421",".325",".327",".324",".194",72.7,25.3,14.9,11.1,31.2,23.2,"7.6","11","88.5","14.3",31.9,12,36.9,"99.424962893","93.831123091",22.3,55.2,44.8,77.7,28.9,42
"Turner, Justin","457759","2024","11",17.6,".383",".252",".383",".327",".328",".352",".131",65.1,0.8,5,4.3,32.5,27.9,"6.3","16","87.1","17.8",40.1,4.6,32.5,"96.702342312","92.434680753",11.5,31.3,68.7,88.5,17,45.4
"Santana, Carlos","467793","2024","23",16.7,".420",".246",".415",".326",".330",".336",".169",71.8,19.4,13.6,10.7,36.1,28.3,"7.6","8","89.2","16.1",30.9,7.3,39.9,"99.506124387","94.004167778",16.6,40.3,59.7,83.4,23.3,43.3
"Rojas, Miguel","500743","2024","6",10.1,".410",".283",".365",".327",".314",".339",".081",67.8,4.2,8.4,7.2,37.3,32.1,"7","9","85","9.7",33.2,2.5,27.8,"96.317826471","92.174445609",8.5,27,73,90.8,13.9,46.5
"Pham, Tommy","502054","2024","9",22.2,".368",".263",".407",".297",".319",".320",".144",72.7,22.8,18.5,14.8,37.2,29.7,"6.9","14","90.4","11",32.2,7.2,42.7,"101.105935449","94.883209671",15.9,46.2,53.8,84.1,22.5,40.5
"Martinez, J.D.","502110","2024","16",28.5,".406",".256",".472",".318",".351",".339",".216",73,28.8,14.1,9.8,28.2,19.7,"8.4","30","91","14.4",39.3,14.9,46.1,"101.443240544","95.173257041",18.1,60.1,39.9,81.9,31.5,48.5
"Goldschmidt, Paul","502671","2024","22",26.5,".414",".255",".450",".310",".329",".311",".195",72.5,24.3,18,13.3,33.5,24.8,"7.8","10","91.2","13.1",34.3,10.7,49.6,"101.892583709","95.666428146",22.1,39.7,60.3,77.9,27.4,47.7
"Altuve, Jose","514888","2024","20",17.4,".439",".262",".399",".344",".316",".321",".137",69.4,13.1,9,7.1,33.4,26.3,"7.8","10","86.5","14.1",35.4,6.5,31.2,"97.323672581","92.693762581",12.7,36.3,62.7,86.5,22.1,51.5
"Marte, Starling","516782","2024","7",21.9,".388",".287",".425",".313",".337",".344",".138",72.4,27,17.2,12.4,33.6,24.2,"7.3","12","89.8","4.3",37.1,6.9,42.9,"101.20205624","94.944189",18.4,52.7,46.9,81,28.4,50.2
"d'Arnaud, Travis","518595","2024","15",26.1,".436",".236",".434",".319",".322",".305",".199",71.4,20.8,14.2,9.6,31.3,21.3,"7.8","6","89.9","11.6",32.9,10.4,41,"100.537202273","94.672343091",26.4,50,50,73.6,32.8,50.7
"Freeman, Freddie","518692","2024","22",15.7,".476",".278",".466",".365",".367",".377",".188",69.8,9.7,13.4,10.9,34.1,27.7,"6.8","10","89.4","14.3",43.1,9.1,41.8,"100.349133067","94.527301044",16.6,29,71,83.4,20.2,49.4
"Rizzo, Anthony","519203","2024","8",17.3,".335",".240",".340",".285",".297",".314",".101",68.5,7.8,9.1,7.3,32.1,25.6,"6.8","4","86.7","14.3",31,4,33.2,"97.798203577","92.909990255",10.6,35.1,64.9,89.4,19.3,49.1
"Stanton, Giancarlo","519317","2024","27",31.2,".475",".249",".509",".330",".352",".315",".260",81.3,98.7,27.6,18.8,30.5,20.8,"8.6","15","94.6","14.7",34.8,20.7,55.3,"108.185328759","99.180033333",25.1,52,48,74.9,34.4,46.8
"Perez, Salvador","521692","2024","27",19.8,".456",".275",".522",".335",".360",".334",".248",73.2,33.4,17.8,13.2,33.6,24.9,"7.9","15","91.1","19",39.4,12.2,44.8,"101.856275647","95.341857371",18.3,41,59,81.7,27.8,57.8
"Ozuna, Marcell","542303","2024","39",24.7,".546",".287",".573",".395",".402",".368",".286",74,42.1,20.2,13.9,33.6,23.1,"7.4","4","92.2","14.4",40.2,15.5,53.5,"103.370699452","96.509068973",22.6,50.4,49.6,77.4,31.4,46.8
"Semien, Marcus","543760","2024","23",14.6,".391",".251",".391",".306",".313",".321",".140",68.3,4.2,11.9,9.8,37.6,30.7,"7.7","27","87.4","17",33,6.6,35.2,"97.806210919","93.005121934",11.9,44,56,88.1,20.2,50
"Springer III, George","543807","2024","19",18.7,".371",".244",".402",".298",".322",".325",".158",71.9,22.3,15.2,11.7,33,25.4,"7.4","24","87.5","9.4",29.2,9.3,37.4,"99.896868","94.046929394",18.6,47.3,52.7,81.4,25.3,49.1
"Vázquez, Christian","543877","2024","7",20.6,".327",".234",".351",".250",".267",".263",".117",68.3,2.8,12.4,10,38.7,31.1,"7","4","88.5","16.1",36.1,3.8,36.6,"98.036944138","93.213200991",14,35.3,64.2,86,20.8,51.7
"Vargas, Ildemaro","545121","2024","1",10.2,".316",".255",".322",".271",".280",".305",".067",69.6,8.4,8.7,7.7,40.2,35.6,"7.2","3","87","4",29.5,1.2,31.9,"97.073438667","92.579283167",6.6,25,73.1,91.5,12.6,46.4
"Harper, Bryce","547180","2024","30",21.9,".525",".267",".474",".380",".357",".358",".206",74.1,41.5,17.6,13.1,28.1,21,"7.3","14","91.1","13.5",36.1,10.6,48.2,"102.531835097","95.63882949",14.9,47.6,52.4,84.9,26.7,52.9
"Díaz, Elias","553869","2024","6",19.7,".382",".242",".343",".303",".280",".293",".101",73.9,41.6,13.8,10.3,26,19.5,"7","11","87.1","7.6",31,4.7,34.5,"99.032119063","93.543152344",18.4,47.8,52.2,81.6,27.8,53.8
"Suárez, Eugenio","553993","2024","30",27.5,".469",".247",".447",".337",".330",".314",".201",72.2,21.5,15,10.8,30.7,22.2,"7.8","34","89.1","19.5",40.4,11.3,42.4,"100.570552315","94.463438988",18.8,55.2,44.8,81.2,29.1,47.2
"Urshela, Gio","570482","2024","9",15.6,".361",".264",".389",".281",".302",".302",".126",68.2,4.2,9,7.3,35.9,29,"7.1","10","86.4","10.5",38.6,4.9,28.4,"96.696776409","92.394270526",15.8,29.6,70.4,83.9,20.3,54.6
"Arenado, Nolan","571448","2024","16",14.5,".394",".255",".356",".314",".296",".312",".101",70.7,12.8,9.2,7.8,32.3,27.6,"8.2","29","86.3","16.9",35.9,3.2,31.6,"96.924147927","92.483246402",9.8,32.7,67.3,90.2,17.2,46.8
"Haniger, Mitch","571745","2024","12",29.8,".334",".216",".364",".277",".292",".294",".148",72.9,26.1,16.5,11.5,34.8,24.2,"7.1","22","90.6","13.7",31,9,45.9,"101.021551732","95.105264331",23.4,56.5,43.5,76.6,32.3,44
"Hernández, Enrique","571771","2024","12",19.6,".373",".233",".362",".285",".285",".286",".129",71.6,18.1,12.1,9.5,35.2,27.5,"7.4","8","89.6","17.1",36,4.8,41.5,"99.326670699","93.89398972",17.3,39.2,60.3,82.3,22.9,48.9
"Singleton, Jon","572138","2024","13",27.4,".386",".228",".382",".312",".310",".317",".154",72.1,24.1,14.3,10.2,35.4,25.2,"7.1","12","88.7","12.8",34.8,8.9,37.2,"99.784248293","93.99841",21.2,52.4,47.6,78.8,30.1,40.7
"Taylor, Michael A.","572191","2024","5",35,".290",".204",".333",".242",".270",".267",".129",74,40.9,14.7,9.3,28.3,17.9,"7.2","20","89.3","13.7",31.4,11.6,40.1,"100.583164074","94.548357778",27.1,66.5,32.4,71.7,39.2,49.3
"Walker, Christian","572233","2024","26",24.1,".468",".246",".457",".343",".351",".339",".211",75,52.8,15.8,12.2,26.1,20.2,"7.5","32","91.2","16.6",35,13.3,48,"103.127969548","96.011102521",17.5,48.8,51.2,82.5,25.6,48
"Yastrzemski, Mike","573262","2024","18",26.2,".437",".219",".396",".319",".301",".291",".177",70.9,5.5,14.2,10.7,35.8,26.9,"7.6","11","90.4","19.1",33,10.5,41,"99.549726267","94.1835",20,43.2,56.3,79.4,26.1,44.1
"Contreras, Willson","575929","2024","15",26.8,".468",".258",".455",".370",".365",".377",".197",75.9,61.6,18.8,12.5,27.9,18.6,"7.9","13","91.6","14.2",32.7,11.2,46.8,"103.712134757","96.17214078",22.2,63.6,36.4,77.8,35,49.8
"Canha, Mark","592192","2024","7",20.8,".346",".212",".306",".310",".288",".322",".094",68.4,4,10.6,8.4,36.5,29.1,"7.2","14","88.4","9.6",31.5,3.3,37.4,"98.159166424","93.219326921",17,33.8,66.2,82.8,21.8,41.6
"Castellanos, Nick","592206","2024","23",21.1,".431",".271",".441",".321",".333",".327",".170",71.9,22.6,12.7,9,33.7,23.8,"7.6","12","88.4","15.2",39,8.1,38.2,"99.266703034","93.738511581",19.4,51.9,48.1,80.6,30.1,58
"Drury, Brandon","592273","2024","4",22.5,".228",".202",".287",".217",".259",".276",".085",72.6,23.1,12,9.6,28.1,22.6,"7.4","16","87.6","6",25.9,3.6,35.6,"99.062132195","93.550623821",18.3,40.1,59.9,81.7,24.4,46.7
"Judge, Aaron","592450","2024","58",24.3,".701",".310",".723",".476",".479",".449",".413",77.2,75.1,25.6,18,33.7,23.7,"8.2","16","96.2","19",40.8,26.9,61,"107.20043567","99.103701521",22.6,57.3,42.7,77.3,30.7,42
"Machado, Manny","592518","2024","29",19.3,".472",".272",".461",".340",".338",".325",".189",75.3,53.6,20.7,16.3,31.6,24.8,"7.8","25","92.5","12.7",33.8,11,48.8,"103.370494128","96.17209183",16.2,45.3,54.7,83.8,24.4,51.6
"Pederson, Joc","592626","2024","23",23.4,".515",".264",".480",".391",".378",".386",".216",73.4,37.2,15.9,12.2,28.9,22.2,"7.7","10","92.3","16.9",34.2,12.8,46.2,"102.648599462","95.864061892",17.9,37.6,62.4,81.1,25,44
"Realmuto, J.T.","592663","2024","14",24.7,".429",".268",".459",".326",".339",".324",".191",73.2,35.4,16.5,12.5,29.3,22.1,"7.6","8","89.2","9.4",36.9,10.4,46.6,"101.248653813","94.909982842",17.6,47.2,52.8,82.4,26.2,50.5
"Renfroe, Hunter","592669","2024","15",19.8,".392",".223",".362",".302",".291",".292",".140",75.2,52.9,15.5,12.1,29.6,23.2,"7.6","8","88.5","16.7",27.8,6.6,39.4,"100.265103311","94.256549636",15.3,42.7,57.3,84.7,23.4,44.4
"Rosario, Eddie","592696","2024","10",24.1,".316",".211",".340",".230",".257",".249",".129",70.3,7.3,13,9.7,39.4,29.2,"7.2","4","91","14.3",27.9,5.3,42.5,"99.203116161","94.098201031",20,42.1,56.5,78.5,27.5,52.9
"Yelich, Christian","592885","2024","11",18.4,".504",".294",".471",".391",".373",".388",".177",73.2,34.7,17.9,14,32.8,25.6,"7.5","9","91.1","5.2",32.2,7.9,46.7,"103.017733429","96.008981238",15.1,42.6,57.4,84.7,23.1,45.7
"Merrifield, Whit","593160","2024","4",15.5,".314",".242",".317",".283",".295",".329",".075",63.4,0.2,4.2,3.4,32.1,26.1,"6.9","7","84.1","12.9",34.3,2.4,21.6,"94.385287083","91.220749372",11.9,35,63.8,87.8,18.7,45.4
"Bogaerts, Xander","593428","2024","11",17.1,".381",".262",".382",".300",".305",".308",".119",70.7,15.3,13,10.8,36.9,30.7,"7.2","10","88.1","10.9",32.1,5.1,33.2,"98.125304802","93.133969802",11.4,37.3,62.7,88.6,18.3,44.2
"Polanco, Jorge","593871","2024","16",29.3,".356",".226",".399",".288",".309",".308",".173",69.7,7.9,12,8.8,31.9,23.4,"7.2","17","88.3","17.8",35.9,8.9,37.4,"99.204331655","93.755834657",21.5,46,53.6,77.6,28.1,44.8
"Duvall, Adam","594807","2024","11",30,".323",".197",".387",".252",".283",".260",".190",72.4,23.1,13.6,9.9,26.7,19.5,"7.6","3","86.9","22.2",27.8,10.7,36.6,"99.791319515","93.950920683",15.8,49.8,50.2,84.2,27.7,49
"Profar, Jurickson","595777","2024","24",15.1,".459",".282",".444",".365",".364",".383",".161",71.7,22.8,12.4,10.4,32.2,27,"7.3","13","91.1","13.4",31.3,7.2,44.4,"100.952441293","94.862553707",12.1,33.1,66.6,87.4,17,45.6
"Cave, Jake","595909","2024","7",28.3,".396",".233",".357",".295",".277",".275",".123",69.5,7.2,9.4,6.9,30.6,22.3,"7","17","87.5","7.5",35.8,5.2,37.1,"98.314485398","93.366757022",21.1,44.3,55.3,78.7,28.2,52.6
"Lindor, Francisco","596019","2024","33",18.4,".500",".283",".528",".363",".379",".353",".246",72.3,23.2,18.9,14.4,37.6,28.6,"7.6","14","90.9","17",35.4,13.6,47.4,"101.098117236","95.07615815",17.5,41,58.7,81.9,23.7,48.7
"Kepler, Max","596146","2024","8",20.1,".380",".247",".381",".298",".301",".300",".134",71.4,19.4,13.7,10.7,32.9,25.6,"7.4","15","88.9","16.8",35.4,6.2,36.8,"99.569991319","93.867541875",15.2,46.5,53.5,84.6,24.4,52.3
"Candelario, Jeimer","600869","2024","20",24.6,".429",".221",".364",".304",".280",".276",".143",68.4,5.1,9.9,7.2,34.3,24.7,"7.8","18","86.9","12.4",33.9,8.2,34.5,"97.855535823","92.968221397",20.9,44.5,55.5,79.1,29.1,51.7
"Urías, Ramón","602104","2024","11",18.3,".423",".248",".429",".325",".328",".319",".182",70.5,12.2,14,10.4,34.4,25.5,"7.5","4","88.3","12.8",32.6,8.7,38.5,"98.830197431","93.627220321",20.5,44.4,55.6,79.5,26.8,49.6
"Bell, Josh","605137","2024","19",19.9,".405",".239",".396",".317",".310",".311",".157",70.4,15,15.4,11.6,36.1,27.2,"7.9","14","88.9","10.5",31.4,7.6,40.1,"100.078711292","94.16958744",18.8,45.6,54.4,81.2,26.8,48.8
"Betts, Mookie","605141","2024","19",11,".491",".282",".447",".371",".356",".368",".165",69.1,9.8,11.4,9.9,41.2,35.8,"6.9","20","89.9","21.4",39.3,6,39.5,"98.50877402","93.575257103",6.1,38.7,61.3,93.9,14.9,40.4
"Arcia, Orlando","606115","2024","17",21.3,".354",".206",".323",".273",".261",".263",".118",70.9,13.5,12.3,9.3,34.1,25.8,"7.9","25","88.2","8.6",29.9,5.3,37.8,"98.41985743","93.283896472",17.7,49.4,50.3,82.3,26.6,49.1
"Hernández, Teoscar","606192","2024","33",28.8,".501",".250",".486",".360",".346",".320",".236",73.3,32.1,18.6,12.6,30,20.3,"7.8","29","90.6","10.3",33.8,14.9,46.8,"102.727395423","95.689116559",25,56.4,43.6,75,34,51.2
"Marte, Ketel","606466","2024","36",18.2,".560",".294",".538",".391",".392",".378",".244",73.7,40.5,20.3,16.2,38.2,30.6,"7.6","6","94","9.4",33.7,12.3,53.8,"103.991137178","96.920444406",14.1,40,59.6,85.6,21.3,48.2
"Nimmo, Brandon","607043","2024","23",23.8,".399",".244",".408",".321",".335",".346",".164",73.3,35.8,15.8,12.4,31.3,24.5,"7.3","22","91.9","11.2",33.7,9.1,47.4,"101.264982933","95.221659687",15.2,45.2,54.8,84.4,23.4,44.8
"Turner, Trea","607208","2024","21",18.2,".469",".264",".419",".349",".318",".309",".155",71.7,17.9,13.5,10,34,25.3,"7.6","15","89.1","11.5",30.9,6.9,40.7,"99.706063382","94.073107543",14.2,51,49,85.8,26.1,53.7
"Pillar, Kevin","607680","2024","8",22,".377",".221",".329",".293",".275",".284",".109",69.4,5.7,8.7,7,27.8,22.2,"7.6","27","84.6","17.9",36.5,3.7,29.7,"96.438782936","92.245806101",14.4,41.5,58.5,85.4,24.5,52.4
"Ramírez, José","608070","2024","39",12,".537",".259",".453",".364",".329",".320",".193",71.6,19.7,13.9,12.1,32.6,28.3,"7.3","17","89.2","19.6",34,8.6,39.7,"99.642954081","93.982319614",9.4,26.6,73.2,90.6,15.2,49.4
"Bregman, Alex","608324","2024","26",13.6,".453",".257",".417",".331",".319",".314",".160",71.4,11.8,13.3,11.9,37.9,33.8,"7","7","89.1","18.2",34.9,6.4,40.5,"98.986527952","93.684160984",8.7,24.7,75.3,91.3,12.8,44.9
"Kelly, Carson","608348","2024","9",17.6,".374",".235",".401",".304",".314",".311",".166",69.5,5.9,13,10.1,37.7,29.3,"6.9","3","87.6","13.6",27.3,6.6,39.4,"98.979228142","93.591084867",14,47.6,52.4,86,22.8,45.5
"Seager, Corey","608369","2024","30",18,".512",".289",".561",".365",".390",".364",".272",72.3,20.9,19.5,15.3,33.3,26.1,"6.6","14","92.1","13.5",38.6,15.2,50.7,"103.274395474","96.157523456",13.5,50.2,49.8,86.5,23.4,53
"Winker, Jesse","608385","2024","14",20.9,".405",".245",".384",".338",".329",".353",".139",69.6,7.7,11.7,9.6,32.7,26.9,"7.3","20","88.6","14",30.1,7.6,37.4,"98.91091179","93.570274815",15,37.5,62.5,84.9,19.6,43.2
"Refsnyder, Rob","608701","2024","11",25.4,".471",".252",".412",".358",".326",".333",".160",72.8,28,17.4,13.1,31.3,23.5,"7.6","10","89.6","10.7",32.8,9.7,43.1,"101.623071856","95.034267165",20.1,51.4,48.6,79.2,28.1,46.2
"Meneses, Joey","608841","2024","3",20.1,".302",".223",".326",".264",".275",".288",".104",70.4,11.8,11.8,9.4,34.4,27.4,"7","8","88.9","8.3",30.8,4.5,39.3,"99.265454911","93.867431839",12.8,43.9,56.1,87.2,22.9,50.8
"Andujar, Miguel","609280","2024","4",13.2,".377",".265",".343",".306",".286",".301",".078",71.6,22.2,11.6,9.9,31,26.6,"7.6","8","86.1","9.2",26.1,2.7,33.7,"97.864980763","92.955361494",7,31.5,68.5,93,16,50.4
"Swanson, Dansby","621020","2024","16",24.3,".390",".244",".416",".307",".321",".316",".172",71.7,12.8,15.4,11.3,33.4,24.4,"7.4","22","89.4","10.4",32.6,9.2,42.7,"100.210263655","94.404024529",22.7,48.7,51.3,77.3,28.7,48.7
"Newman, Kevin","621028","2024","3",15.4,".375",".256",".323",".298",".271",".292",".067",67.6,2.6,6.2,5.3,38.7,33,"6.7","11","85.6","9.7",25,1.6,23.4,"95.24854438","91.64158444",10.5,35.2,63.4,89,17.3,49.2
"Correa, Carlos","621043","2024","14",16.6,".517",".278",".455",".385",".358",".363",".177",74.5,45.4,19.9,16.2,32.2,26.2,"7.3","4","90.3","8.9",34.4,9.2,44.7,"102.536128244","95.462669198",13.5,36.6,63.4,86.5,20.4,44.6
"Taylor, Tyrone","621438","2024","7",23.2,".401",".249",".389",".304",".301",".301",".140",70.5,6.4,13.7,10.9,33.6,26.8,"7.6","8","87.3","16.8",34.9,7.1,35.3,"99.355167983","93.783487975",12,43.2,56.8,88,22.2,49.4
"Buxton, Byron","621439","2024","18",25.5,".524",".264",".502",".366",".353",".322",".238",74.3,41.8,16.7,11.7,31.5,22,"8.1","12","91.7","19.8",39.5,13.2,48.1,"102.451274806","95.815194845",22.5,53.7,46.3,77.5,32.1,54
"Ward, Taylor","621493","2024","25",24.6,".426",".251",".458",".325",".344",".331",".207",69.8,8.4,14.8,11.4,38.4,29.6,"7.1","23","90.9","17.4",41.9,13,42.4,"100.017751581","94.464585641",17.7,50.9,49.1,82.3,25.5,43.2
"Olson, Matt","621566","2024","29",24.8,".457",".247",".448",".339",".341",".336",".201",73.8,38.5,15.1,11.2,26.5,19.5,"7.3","11","91.5","16.1",35.4,12.4,47.4,"102.726279537","95.899543218",22,36.4,63.4,78,26.3,49.7
"Margot, Manuel","622534","2024","4",15.7,".337",".261",".379",".276",".308",".314",".118",72,19.9,13.8,11.1,31.2,25.1,"7.3","5","88.2","13.8",30.9,4.9,33.6,"98.859258923","93.482249961",13.3,37.1,62.9,86,20.6,49.5
"Santander, Anthony","623993","2024","44",19.4,".506",".228",".445",".345",".324",".304",".218",73.1,34,13.7,11,27.6,22.3,"7.2","7","89.8","22.7",35,11.7,41.6,"100.325476894","94.357156511",15.4,28,72,84.6,20,49.7
"Alonso, Pete","624413","2024","34",24.7,".459",".242",".461",".340",".343",".332",".219",75.3,53,18.4,14,29.6,22.5,"7.3","20","89.8","14.4",30.5,13.2,46.4,"102.785114727","95.699086105",14.1,48.1,51.9,85.9,24.7,42.9
"Conforto, Michael","624424","2024","20",24.2,".450",".257",".479",".327",".350",".329",".222",74.1,42.9,17.5,13.4,33,25.3,"7.4","5","90.2","14.8",33.7,11.8,46,"101.95530559","95.249550592",18,44.2,55.8,82,25.2,44.8
"Soler, Jorge","624585","2024","21",24.6,".442",".244",".447",".340",".346",".342",".203",75.4,57,15.8,11.5,29.8,21.7,"7.9","12","90.5","17.9",33.4,12.6,44.1,"101.898357865","95.262490702",17.1,53.6,46.4,82.9,28.9,44.5
"Cronenworth, Jake","630105","2024","17",18,".390",".259",".420",".315",".335",".341",".161",69.4,6.1,11.7,9.7,31.9,26.4,"7.1","11","88.6","13.9",35.4,7.8,36.7,"99.527561266","93.904133654",10.8,36.1,62.3,89.1,17.1,45
"Bauers, Jake","641343","2024","12",34.1,".361",".201",".379",".294",".302",".303",".178",73.8,31,11,8.2,23.8,17.6,"7.5","14","89.4","22.6",38.6,10.3,42.9,"99.96682033","94.377085138",20.6,63.3,36.7,79.2,29.1,45.8
"Bellinger, Cody","641355","2024","18",15.6,".426",".242",".391",".322",".301",".305",".149",69,5.2,9.7,7.7,38.6,30.6,"7.6","22","87.8","17.4",32.9,6.3,32.9,"97.314029213","92.768351065",16,35,65,84,22.2,49.8
"Crawford, J.P.","641487","2024","9",22.6,".321",".227",".363",".283",".309",".326",".136",71.9,23.2,12.2,9.8,29,23.3,"7.3","5","87.5","13.2",30.2,6.5,37.8,"98.950282708","93.58355108",15.8,37,63,83.7,20.2,41.1
"Fraley, Jake","641584","2024","5",18.3,".386",".245",".323",".314",".285",".304",".079",71.8,20,7.2,5.7,25.8,20.6,"7.1","1","84.3","11.1",34.6,3.2,24.7,"95.677326241","91.891008399",15.7,37.6,62.4,84.3,21.3,57.9
"Garver, Mitch","641598","2024","15",30.9,".341",".180",".335",".281",".285",".295",".155",71.2,9.9,14.5,10.3,34.7,24.8,"7.3","15","89.9","18.3",32.5,8.4,39.7,"99.983276271","94.254381059",21.4,57.4,42.6,78.6,30.8,38.7
"Heim, Jonah","641680","2024","13",18.3,".336",".228",".356",".265",".277",".275",".128",70.2,9.7,11.2,9,34.6,27.7,"7.4","9","88.5","14.5",29.9,5.9,36.4,"98.507122973","93.44020477",14.4,35.8,64.2,85.6,20.7,54.3
"McMahon, Ryan","641857","2024","20",28.7,".397",".243",".414",".315",".325",".329",".171",72.5,26.3,16.4,11.7,31.4,22.4,"7.2","28","92.1","10",36.5,10.9,49.7,"102.62988712","96.057260524",22.4,50.6,49.1,77.6,30,46.9
"O'Neill, Tyler","641933","2024","31",33.6,".511",".213",".480",".360",".339",".313",".267",75.2,51.8,18.1,11.9,28.3,18.6,"7.6","11","90.9","20.2",34.6,17.3,48.8,"102.819767874","95.797605236",24.4,55.8,44.2,75.6,34.1,44.6
"Smith, Dominic","642086","2024","6",24.8,".378",".219",".383",".306",".302",".301",".164",68.9,2.5,10.8,8.3,38,29.3,"7","13","89.3","13",37.7,10.6,38.7,"98.769074141","93.729740505",19.2,39.1,60.9,80.8,25.3,45.3
"Tellez, Rowdy","642133","2024","13",21.1,".392",".237",".394",".301",".302",".297",".157",74.4,43.7,15.3,12.3,27.5,22.1,"8","13","89.4","17",32.4,8,36.5,"100.611958926","94.350585034",11.5,44.5,55.1,88.5,21.9,43.3
"Siri, Jose","642350","2024","18",37.9,".366",".200",".409",".271",".297",".269",".209",72.5,27.2,14.9,9.2,27.3,16.8,"7.8","20","87.5","15.4",35.7,14.7,41.6,"100.732893305","94.47103983",32.1,59.8,40.2,66.6,41.9,50.9
"Rosario, Amed","642708","2024","3",21.1,".380",".250",".359",".299",".280",".278",".109",71.2,16.7,11.7,9,31.2,23.9,"7.3","8","86.9","4.6",33.5,4.6,36.2,"98.559932462","93.290414231",14.6,42,58,85.4,24.6,55.2
"Adames, Willy","642715","2024","32",25.1,".462",".243",".461",".342",".339",".324",".218",73.6,33.5,13.1,9.5,28.7,20.9,"8.1","9","88.6","20.6",38.2,12,40.7,"99.769639045","94.108759136",21.1,50.5,49.2,78.8,29.5,49.5
"Estrada, Thairo","642731","2024","9",19.9,".343",".226",".338",".256",".263",".257",".112",71,14.3,11.9,10,33.8,28.4,"7.2","17","86.2","10.5",30.3,4.8,31.7,"97.31710125","92.678487456",9.9,41.6,58.4,89.9,20.5,51.3
"Benintendi, Andrew","643217","2024","20",18.4,".396",".243",".389",".298",".303",".303",".146",68,1,9.1,7.3,39.8,31.9,"6.7","12","88","16.1",36.5,6.3,34.4,"97.17823","92.764984068",17,33.1,66.5,82.5,21.1,48
"Dubón, Mauricio","643289","2024","4",12.9,".361",".248",".330",".286",".272",".281",".082",69.4,6.6,6.7,5.5,33.3,27.4,"7.6","14","86.1","14.6",30.4,2.8,26.5,"95.977741503","92.011502977",15.9,24.3,75.1,83.7,18.8,60.1
"Jansen, Danny","643376","2024","9",18.8,".349",".201",".332",".294",".289",".306",".131",69,6.8,10.4,8.7,34.6,28.7,"6.9","23","86.6","21.7",34.1,6.4,29.7,"97.185697545","92.627349132",14.7,39,61,85.3,20.9,40.6
"Kiner-Falefa, Isiah","643396","2024","8",15.7,".376",".251",".346",".299",".283",".292",".095",67,2.2,10.1,8.6,40.9,35.1,"6.8","11","86.1","9.1",31.6,2.3,29.7,"96.695719581","92.34866123",9.4,27,72.5,90.2,14.8,46.1
"McNeil, Jeff","643446","2024","12",14.4,".384",".235",".336",".304",".288",".306",".102",68.8,5.2,7.9,6.7,32.6,27.7,"7.2","25","87","14.9",32.2,3.1,31.1,"96.866365393","92.484410197",11.1,35.2,64.8,87.9,17.5,55.4
"Tauchman, Mike","643565","2024","7",20,".366",".242",".380",".325",".330",".353",".139",69.3,4.5,12.7,10.1,30.6,24.4,"7","11","89","15.5",34.9,7.4,41,"99.141927105","93.788317412",18.6,34.1,65.9,81.4,22.5,46
"Albies, Ozzie","645277","2024","10",14.9,".404",".246",".387",".307",".302",".301",".140",69.1,7.5,8.1,6.6,32.9,26.6,"7.2","7","88.4","18.4",33.4,6.2,32,"97.095539467","92.617553798",15.5,31.3,68.7,84.4,20.5,56.6
"Devers, Rafael","646240","2024","28",24.5,".516",".272",".509",".364",".364",".355",".238",72.5,27.9,19.4,13.8,32.7,23.3,"7.4","24","93.2","11.6",35.2,13,52.6,"104.597925864","97.090537461",28.1,36.8,62.9,71.9,30.9,50.9
"Naylor, Josh","647304","2024","31",16.6,".456",".257",".443",".332",".335",".333",".186",72.8,32.2,15.3,12.1,33.8,26.8,"7.6","11","89.9","11.1",30.1,8.4,40.9,"100.815360087","94.680816725",14.5,37,63,85.4,22.4,50.3
"Toro, Abraham","647351","2024","6",17,".350",".245",".365",".283",".291",".297",".120",69.6,10.7,10.7,8.9,36.2,29.9,"7.6","4","87.2","12.2",33.2,4.3,29.6,"97.476845145","92.798620509",9.5,33.9,65.1,89.8,17.4,48.1
"Arraez, Luis","650333","2024","4",4.3,".392",".310",".400",".323",".325",".343",".090",63.2,0.3,4.9,4.6,46.5,43.9,"6","8","86.3","13.7",40.9,1.6,23.7,"94.838000362","91.449624457",4.7,11.3,88,95,6.9,49.8
